('2340i', -1.9003402350183196, -1.248838451704326, -0.472288705198629)
('29862s', 4.2068017049247395, 1.3402002952387368, 0.508128072450044)
('5423a', 3.146217933611984, 1.396210264174277, 0.4844241123282766)
('10336d', 2.731474563090586, -0.9691382982021852, -0.2609827381478501)
('816b', -0.5243797234622032, 0.9796298920759245, 0.3229451657090015)
('3776h', -3.05762430283133, -3.7608424909909908, -1.3888551817485244)
('2432d', -3.8971460635642834, -3.8518026392580285, -1.4460977145727165)
('2379b', 4.730174287312274, 1.4033581416905916, 0.5541197503952401)
('160a', -0.46687889812108274, -1.7778545732040412, -0.7296026689201041)
('192a', 0.8036936857378748, -1.6748550772763637, -0.6906948947570515)
('128b', 0.2179134343350294, 0.9520024311038536, 0.2977211019944184)

